NA_removal_threshold,model,prediction_window,prospective_accuracy,prospective_auc,prospective_auprc,prospective_brier,prospective_f1,prospective_precision,prospective_recall,retro_accuracy,retro_auc,retro_auprc,retro_brier,retro_f1,retro_precision,retro_recall,test_df_control_ratio
0,lgbm-isotonic,0,0.8000575208513085,0.7054819505375272,0.9045665649403742,0.19278618401046146,0.8000575208513085,0.8000460193281178,1.0,0.5636532225477893,0.7023217125562249,0.761980013482785,0.21486118214593392,0.5636532225477893,0.5634286900679051,0.9999282845668388,0.25
80,lgbm-isotonic,0,0.799957863689034,0.7413128472436596,0.918977724257777,0.17392248998605506,0.799957863689034,0.80042194092827,0.9990783410138249,0.5959581980225872,0.7492030093712103,0.8179432327207914,0.19750687728533695,0.5959581980225872,0.5957349417764357,0.999735659529474,0.25
80,lgbm-isotonic,0,0.7998525229116191,0.7431900527980321,0.920090602101859,0.17355976406185136,0.799852522911619,0.800274174839186,0.9992100065832785,0.5957213309865759,0.7488964943242391,0.8182234784496444,0.19764591095010695,0.5957213309865759,0.5955772776968948,0.999867829764737,0.25
80,lgbm-isotonic,0,0.8001685452438639,0.7482953193514396,0.9218919766421615,0.1726842761289608,0.8001685452438639,0.8004640371229699,0.9993416721527321,0.5959582104873051,0.752133092525919,0.8198601560955601,0.19646945029155694,0.5959582104873051,0.5957509424341753,0.999603489294211,0.25
80,lgbm-isotonic,0,0.8001685452438639,0.7482953193514396,0.9218919766421615,0.1726842761289608,0.8001685452438639,0.8004640371229699,0.9993416721527321,0.5959582104873051,0.752133092525919,0.8198601560955601,0.19646945029155694,0.5959582104873051,0.5957509424341753,0.999603489294211,0.25
80,lgbm-isotonic,0,0.8011166122405984,0.7536973190309469,0.9241521321941699,0.1715151860907926,0.8011166122405984,0.8010973936899863,0.9996050032916393,0.5971424459496173,0.757494073822115,0.8260408565431174,0.194754974433395,0.5971424459496173,0.596507886579017,0.9992069785884219,0.25
80,lgbm-isotonic,0,0.8002738860212788,0.7542738588348082,0.9245449492193407,0.17104869369271228,0.8002738860212788,0.8002950785119612,0.9998683344305465,0.5956423919275295,0.7582498008610232,0.8260001885111601,0.1946209647536042,0.5956423919275295,0.5955458585545137,0.999735659529474,0.25
80,lgbm-isotonic,0,0.8005899083535236,0.7577739916796795,0.9260565870257171,0.170888443486001,0.8005899083535235,0.800928857926958,0.9990783410138249,0.5976160553744598,0.7619503153731209,0.8308982683907233,0.19294204669611884,0.5976160553744598,0.5968181528189616,0.998940879599598,0.25
80,lgb-isotonic-iterativeimpute,0,0.8002738860212788,0.7475882585945083,0.9208653983926819,0.1725146824248232,0.8002738860212788,0.8003583851586381,0.9997366688610928,0.5961950401291625,0.7515133557857744,0.8208552006251982,0.19682900962774746,0.5961950401291625,0.5958453552390736,1.0,0.25
80,lgb-isotonic-simpleimpute_mean,0,0.8006952491309386,0.7514074966129761,0.9222143175829662,0.1714372978347108,0.8006952491309386,0.8008228716109295,0.9994733377221856,0.5958792589635408,0.7565021403919044,0.8246607087441679,0.19533741663047843,0.5958792589635408,0.59568809936622,0.999735659529474,0.25
80,lgb-isotonic-simpleimpute_mean,0,0.8008005899083536,0.7572382418414866,0.9251821875907242,0.17082397195579022,0.8008005899083536,0.8009708737864077,0.9993416721527321,0.5972213725439457,0.7605158878909546,0.829246108728827,0.19361393730222892,0.5972213725439457,0.5965068747267889,0.999603489294211,0.25
80,lgb-isotonic-iterativeimpute,0,0.8005899083535236,0.7554179896235322,0.9250190659169641,0.17201564093881969,0.8005899083535235,0.8006115563053564,0.9997366688610928,0.5969844182549087,0.758470841657619,0.8284273733391478,0.19434971092440567,0.5969844182549087,0.5963904205000787,0.9993365110462382,0.25
80,lgb-isotonic-knnimpute,0,0.799957863689034,0.7199633237162434,0.9096347103415792,0.1777791164802585,0.799957863689034,0.8001053740779768,0.9997366688610928,0.5952476467734256,0.7219283422189242,0.7924549100546302,0.206627957381716,0.5952476467734256,0.5953101718901128,0.999735659529474,0.25
80,xgb-isotonic,0,0.8010112714631834,0.7433519986736323,0.9216388251130995,0.17457032674510964,0.8010112714631834,0.8010764035457999,0.9994733377221856,0.5987211897363917,0.7485423313832957,0.8223002627439651,0.19754949518414094,0.5987211897363917,0.5975368618117436,0.9984051645853548,0.25
80,xgb-isotonic-simpleimpute_mean,0,0.8009059306857684,0.742844517391579,0.9208377601297038,0.17512432194696592,0.8009059306857685,0.8015008984251136,0.9984200131665569,0.5999054002692679,0.7457540546001508,0.8184136823430996,0.198648936982093,0.5999054002692679,0.5983287327462807,0.9977443134090397,0.25
80,xgb-isotonic-iterativeimpute,0,0.799957863689034,0.7429900917843598,0.9206858781457519,0.17558451953325158,0.799957863689034,0.8011844331641286,0.9974983541803818,0.5991949861320041,0.748163853163156,0.8200512135650229,0.19804924632342383,0.5991949861320041,0.5978907017465314,0.9978800006808983,0.25
80,xgb-isotonic,0,0.8010112714631834,0.75455331865912,0.9249564257278655,0.1717362048884062,0.8010112714631834,0.8010764035457999,0.9994733377221856,0.5991158601021878,0.7597934877530873,0.8295743085401528,0.19388168877587209,0.5991158601021878,0.5978067093012089,0.9981443411514244,0.25
80,xgb-isotonic,0,0.8006952491309386,0.7543170074039338,0.9246857409780536,0.17100763583997824,0.8006952491309386,0.8008228716109295,0.9994733377221856,0.5969845304373704,0.7614456895317904,0.8305102523148256,0.19332404680564502,0.5969845304373704,0.5964880575886269,0.9985434896346601,0.25
